year,Travel,Education,Love,Health,Family,Religion,Political,Lifestyle,Unidentified
1800,0,0,0,0,2,1,2,2,0
1801,0,0,0,0,0,0,0,0,0
1802,1,0,0,1,1,1,0,0,0
1803,0,0,0,0,0,0,0,0,0
1804,0,2,0,1,1,2,0,0,1
1805,5,14,0,7,4,2,0,12,2
1806,7,4,0,8,11,10,0,11,0
1807,0,0,1,0,1,0,0,9,0
1808,0,0,0,0,4,0,0,5,0
1809,1,0,0,1,0,0,0,1,0
1810,0,0,0,0,1,0,0,3,0
1811,2,2,0,1,2,0,2,3,1
1812,6,1,0,4,7,4,9,7,0
1813,3,1,0,1,1,2,4,0,1
1814,0,0,0,0,0,0,0,1,0
1815,0,0,0,0,1,0,0,0,0
1816,2,0,0,2,0,0,0,0,0
1817,1,0,0,1,0,1,1,1,0
1818,1,1,2,0,1,0,1,1,0
1819,0,0,1,0,4,0,0,4,1
1820,0,0,1,0,3,0,0,5,0
1821,0,2,0,3,3,1,0,5,1
1822,0,0,0,2,0,1,0,4,0
1823,0,3,0,1,0,1,0,3,0
1824,0,0,0,1,1,1,0,0,0
1825,4,0,0,3,2,4,0,4,0
1826,1,0,0,0,3,2,1,1,0
1827,0,0,0,0,0,1,0,0,0
1828,4,0,0,0,0,1,3,0,1
1829,8,1,0,3,1,3,1,6,0
1830,5,1,0,2,2,5,4,2,1
1831,0,0,0,1,1,2,1,2,0
1832,2,1,0,4,1,2,1,6,1
1833,12,1,2,9,7,7,3,9,6
1834,13,1,1,8,4,4,6,10,0
1835,4,43,0,2,4,33,4,10,3
1836,4,14,0,6,4,0,2,20,0
1837,5,4,0,0,2,2,9,13,1
1838,2,5,0,3,1,0,1,9,0
1839,11,8,0,7,8,5,7,11,1
1840,6,1,0,6,7,9,5,7,0
1841,5,1,0,3,1,3,3,14,0
1842,6,0,0,3,6,4,4,6,2
1843,9,1,0,6,7,5,1,12,1
1844,3,0,0,3,2,2,1,4,0
1845,7,0,0,1,2,2,1,4,0
1846,5,0,0,1,0,3,1,7,0
1847,4,0,1,5,3,2,3,3,6
1848,3,0,0,4,1,3,0,3,1
1849,2,0,0,1,4,1,0,2,0
1850,1,2,0,2,5,0,1,5,1
1851,4,5,0,9,5,4,2,9,0
1852,7,3,0,4,7,0,4,10,2
1853,1,1,0,6,5,3,0,9,2
1854,1,3,0,2,1,1,0,4,0
1855,2,1,0,2,3,0,0,1,0
1856,1,1,0,6,4,2,0,11,0
1857,8,2,0,2,4,1,0,16,5
1858,11,3,0,13,8,0,0,17,0
1859,1,1,0,4,2,1,0,3,2
1860,4,0,0,7,13,3,0,14,0
1861,12,0,0,7,9,2,1,13,0
1862,6,2,0,11,5,2,6,13,4
1863,14,3,0,5,4,3,1,12,0
1864,26,2,0,16,10,13,2,29,1
1865,14,19,2,9,17,10,15,41,4
1866,11,9,0,8,11,7,9,16,1
1867,36,10,0,19,14,14,0,37,1
1868,4,0,0,3,2,0,0,6,0
1869,30,12,0,22,8,3,1,37,0
1870,6,0,0,2,2,0,1,47,1
1871,7,0,0,4,3,0,0,52,0
1872,29,0,0,8,26,8,0,84,7
1873,33,2,1,9,11,7,5,30,14
1874,7,2,0,14,4,2,1,13,1
1875,17,3,0,12,3,1,0,19,3
1876,33,5,1,33,19,11,9,45,3
1877,15,0,0,8,14,6,0,21,2
1878,9,1,0,5,9,2,1,13,0
1879,13,0,0,9,12,6,0,22,1
1880,18,3,0,9,14,12,4,37,1
1881,11,0,0,11,3,3,0,18,0
1882,20,0,4,19,6,6,2,34,5
1883,19,2,1,18,28,5,2,36,1
1884,12,5,1,13,6,5,0,32,3
1885,5,1,0,25,7,4,0,23,0
1886,21,0,2,12,13,6,1,28,1
1887,36,5,1,39,27,6,3,70,3
1888,23,0,0,25,3,2,2,35,0
1889,24,0,1,13,10,1,3,33,3
1890,2,1,0,4,2,2,1,3,0
1891,16,0,0,12,5,4,0,20,2
1892,22,1,0,8,6,1,0,14,1
1893,24,4,0,23,8,2,0,30,3
1894,14,1,0,4,2,1,1,13,2
1895,19,5,0,13,14,2,0,30,3
1896,17,5,0,17,11,3,2,29,1
1897,21,4,0,33,20,8,3,31,2
1898,0,0,0,3,1,1,0,3,1
1899,10,6,0,18,12,6,0,22,0
1900,8,5,0,21,11,6,2,22,0
1901,18,4,2,18,9,4,5,33,2
1902,8,3,0,10,10,4,2,15,4
1903,4,3,0,4,3,4,0,4,2
1904,13,6,0,10,12,1,2,24,5
1905,16,4,0,21,15,2,8,31,6
1906,16,2,0,17,9,3,4,19,1
1907,12,4,0,13,15,1,7,30,0
1908,6,0,0,3,7,6,1,11,2
1909,2,0,0,5,10,5,0,7,3
1910,8,1,0,6,6,3,0,10,2
1911,17,3,2,4,32,16,0,15,1
