year,letters
,53
0021,1
0025,1
1732,1
1771,1
1787,1
1788,1
1790,1
1793,1
1800,4
1802,2
1804,4
1805,20
1806,17
1807,9
1808,5
1809,3
1810,4
1811,10
1812,13
1813,7
1814,1
1815,3
1816,4
1817,1
1818,3
1819,7
1820,10
1821,6
1822,4
1823,5
1824,3
1825,6
1826,3
1827,1
1828,5
1829,11
1830,15
1831,5
1832,10
1833,35
1834,18
1835,64
1836,31
1837,22
1838,12
1839,25
1840,21
1841,17
1842,13
1843,20
1844,10
1845,9
1846,8
1847,17
1848,6
1849,6
1850,9
1851,15
1852,18
1853,16
1854,8
1855,6
1856,17
1857,32
1858,30
1859,9
1860,25
1861,24
1862,37
1863,22
1864,49
1865,69
1866,30
1867,63
1868,13
1869,56
1870,49
1871,59
1872,107
1873,67
1874,25
1875,36
1876,72
1877,31
1878,20
1879,37
1880,55
1881,33
1882,53
1883,93
1884,64
1885,36
1886,52
1887,102
1888,43
1889,56
1890,8
1891,38
1892,31
1893,60
1894,27
1895,44
1896,52
1897,72
1898,9
1899,36
18uu,1
1900,38
1901,56
1902,34
1903,16
1904,41
1905,67
1906,48
1907,44
1908,31
1909,26
1910,26
1911,49
c.1865,2
